Variable;Valor
x_tvp[1,16,8];-0.0
x_tvp[1,16,9];-0.0
x_tvp[1,16,10];1.0
x_tvp[1,16,11];-0.0
x_tvp[1,16,12];-0.0
x_tvp[1,16,13];-0.0
x_tvp[1,16,14];-0.0
x_tvp[1,16,15];4.0
x_tvp[1,16,16];-0.0
x_tvp[1,16,17];-0.0
x_tvp[1,16,18];-0.0
x_tvp[1,16,19];-0.0
x_tvp[1,16,20];-0.0
x_tvp[1,16,21];-0.0
x_tvp[1,16,22];-0.0
x_tvp[1,16,23];-0.0
x_tvp[1,16,24];-0.0
x_tvp[1,16,25];-0.0
x_tvp[1,16,26];-0.0
x_tvp[1,16,27];-0.0
x_tvp[1,16,28];-0.0
x_tvp[1,16,29];-0.0
x_tvp[1,16,30];-0.0
x_tvp[1,16,31];-0.0
x_tvp[1,16,32];-0.0
x_tvp[1,16,33];-0.0
x_tvp[1,16,34];-0.0
x_tvp[1,16,35];-0.0
x_tvp[1,16,36];-0.0
x_tvp[1,16,37];-0.0
x_tvp[1,16,38];-0.0
x_tvp[1,16,39];-0.0
x_tvp[1,16,40];-0.0
x_tvp[1,17,1];-0.0
x_tvp[1,17,2];-0.0
x_tvp[1,17,3];-0.0
x_tvp[1,17,4];-0.0
x_tvp[1,17,5];-0.0
x_tvp[1,17,6];-0.0
x_tvp[1,17,7];-0.0
x_tvp[1,17,8];-0.0
x_tvp[1,17,9];-0.0
x_tvp[1,17,10];1.0
x_tvp[1,17,11];-0.0
x_tvp[1,17,12];-0.0
x_tvp[1,17,13];-0.0
x_tvp[1,17,14];-0.0
x_tvp[1,17,15];4.0
x_tvp[1,17,16];-0.0
x_tvp[1,17,17];-0.0
x_tvp[1,17,18];-0.0
x_tvp[1,17,19];-0.0
x_tvp[1,17,20];-0.0
x_tvp[1,17,21];-0.0
x_tvp[1,17,22];-0.0
x_tvp[1,17,23];-0.0
x_tvp[1,17,24];-0.0
x_tvp[1,17,25];-0.0
x_tvp[1,17,26];-0.0
x_tvp[1,17,27];-0.0
x_tvp[1,17,28];-0.0
x_tvp[1,17,29];-0.0
x_tvp[1,17,30];-0.0
x_tvp[1,17,31];-0.0
x_tvp[1,17,32];-0.0
x_tvp[1,17,33];-0.0
x_tvp[1,17,34];-0.0
x_tvp[1,17,35];-0.0
x_tvp[1,17,36];-0.0
x_tvp[1,17,37];-0.0
x_tvp[1,17,38];-0.0
x_tvp[1,17,39];-0.0
x_tvp[1,17,40];-0.0
x_tvp[1,18,1];-0.0
x_tvp[1,18,2];-0.0
x_tvp[1,18,3];-0.0
x_tvp[1,18,4];-0.0
x_tvp[1,18,5];-0.0
x_tvp[1,18,6];-0.0
x_tvp[1,18,7];-0.0
x_tvp[1,18,8];-0.0
x_tvp[1,18,9];1.0
x_tvp[1,18,10];-0.0
x_tvp[1,18,11];-0.0
x_tvp[1,18,12];-0.0
x_tvp[1,18,13];-0.0
x_tvp[1,18,14];-0.0
x_tvp[1,18,15];1.0
x_tvp[1,18,16];-0.0
x_tvp[1,18,17];-0.0
x_tvp[1,18,18];-0.0
x_tvp[1,18,19];-0.0
x_tvp[1,18,20];-0.0
x_tvp[1,18,21];-0.0
x_tvp[1,18,22];-0.0
x_tvp[1,18,23];-0.0
x_tvp[1,18,24];-0.0
x_tvp[1,18,25];-0.0
x_tvp[1,18,26];-0.0
x_tvp[1,18,27];-0.0
x_tvp[1,18,28];-0.0
x_tvp[1,18,29];-0.0
x_tvp[1,18,30];-0.0
x_tvp[1,18,31];-0.0
x_tvp[1,18,32];-0.0
x_tvp[1,18,33];-0.0
x_tvp[1,18,34];-0.0
x_tvp[1,18,35];-0.0
x_tvp[1,18,36];-0.0
x_tvp[1,18,37];-0.0
x_tvp[1,18,38];-0.0
x_tvp[1,18,39];-0.0
x_tvp[1,18,40];-0.0
x_tvp[1,19,1];0.0
x_tvp[1,19,2];0.0
x_tvp[1,19,3];0.0
x_tvp[1,19,4];0.0
x_tvp[1,19,5];0.0
